Numero parcometro,Nome parcometro,Latitudine,Longitudine
523,Via X X Settembre civ. 2b,45.53456823699668,10.212658846212557
524,Via X X Settembre civ.  4b,45.53455407137862,10.213382616379928
526,Via X X Settembre fronte civ. 8,45.53436848052824,10.214205224379839
527,Via V. Emanuele II,fronte civ.   14,45.53497873885909,10.21409111692397
528,Via V. Emanuele II,fronte civ.  42,45.53452956351113,10.216298549829439
530,Via Moretto fronte civ. 10,45.5359915086583,10.21465444356293
532,C.so Matteotti fronte civ.31a,45.536916197806775,10.212753565255897
534,C.so Matteotti fronte civ.21,45.5383637381424,10.213333681762288
536,Via dei Mille fronte civ. 26,45.53591215292859,10.211547092141828
537,Via dei Mille civ. 26,45.535879756072994,10.211472134148343
539,Via dei Mille fronte civ. 18a,45.537067836178025,10.210647240783656
541,Via dei Mille fronte civ. 41b,45.53816756961258,10.210786091924543
542,Via dei Mille fronte civ. 41a /41b,45.53853666098408,10.210917364234295
543,Via dei Mille fronte civ. 41,45.53918673193424,10.211091380226215
545,C.so Martiri della Libertà civ. 64,45.5357390917064,10.212766552378755
546,Via Cairoli civ.19,45.53945481941416,10.212897275390205
106,V. Brigata Meccanizzata,45.54612374488181,10.214669653444528
112,Via Borgo Trento civ 34,45.55342011572886,10.224197479300756
114,Via Montesuello,45.54655919886978,10.22077138097792
123,Via Milano fronte civ. 3e,45.54238400167728,10.209232213985842
128,Via Ugoni  civ. 1b,45.54121952620046,10.210983742468938
133,Via Ugoni civ.7,45.53992396823855,10.210620482263911
134,Via dei Mille fronte civ. 39,45.53973737141026,10.21123997100814
137,P.za Garibaldi sn,45.54134665691064,10.211351830127768
138,P.za Garibaldi sn,45.54200327644509,10.211580791263813
261,Park V.Apollonio,45.5470714210725,10.223881065537231
262,Park V.Apollonio,45.54711368534412,10.223681240977772
269,Park V.Apollonio,45.54663280997136,10.223583340342856
270,Park V.Apollonio,45.546672256933135,10.22354578942154
271,Park V.Apollonio,45.546801868185725,10.223655759984462
304,Via S.S. Marco civ. 37d,45.5327603792704,10.227149017582425
335,Via Solferino civ. 57b,45.531772988307985,10.222138233558466
353,Via Volta civ.4,45.51916085561156,10.224715039201083
354,Via Lamarmora civ.249,45.51819367798288,10.224381900969119
410,Via V. Eman.II fronte civ. 8,45.53509982150605,10.213465013513128
426,Via Solferino civ. 51b,45.53222837762881,10.220098227624616
429,Via Solferino civ. 24b,45.532343505373085,10.21905467043583
435,Via Solferino civ.11c  - 13,45.533399523152696,10.215047839968465
478,Via Cefalonia,45.52483760712986,10.218482689556906
483,Parcheggio 3 Torri,45.523002389151785,10.197832369200514
484,Parcheggio 3 Torri,45.522344331512954,10.197293150758355
486,Parcheggio 3 Torri,45.52172546002006,10.196903069685971
