stop_id,stop_name,stop_lat,stop_lon,location_type,zone_id
1,"Bovezzo, Rota 15, Capolinea",45.59255107,10.24266203,0,Z2
10,"Brescia, Ottava, Vill.Prealpino",45.5850168,10.23442155,0,Z1
100,"Brescia, Cremona",45.52459376,10.22314479,0,Z1
1000,"Brescia, Verrocchio Metro",45.51847901,10.25892071,0,Z1
1001,"Brescia, Lippi",45.51457998,10.25512848,0,Z1
1003,"Flero, Don Maestrini",45.46835737,10.174964,0,Z2
1004,"Brescia, Volturno fr.36",45.54707428,10.21078044,0,Z1
1005,"Brescia, L.Da Vinci",45.5461916,10.21495395,0,Z1
1006,"Brescia, Salgari fr.41",45.52611862,10.19989177,0,Z1
1007,"Brescia, Livorno 54",45.52556572,10.17976363,0,Z1
1009,"Brescia, Fura fr.64",45.52671577,10.18909991,0,Z1
101,"Brescia, Della Volta 6/e",45.51852112,10.22473777,0,Z1
1010,"Brescia, Fura 53",45.52604913,10.19268055,0,Z1
1011,"Brescia, Fura fr.38",45.52537971,10.1957195,0,Z1
1014,"Brescia, L.Da Vinci 10",45.54554655,10.2195501,0,Z1
1015,"Brescia, S.Eufemia 32",45.52261352,10.26772854,0,Z1
1016,"Brescia, S.Eufemia 54, Metro",45.52043266,10.27475209,0,Z1
1017,"Brescia, S.Eufemia 106",45.51942754,10.28125367,0,Z1
1018,"Brescia, S.Eufemia 108",45.51770815,10.28779819,0,Z1
1019,"Rezzato, Mazzini",45.51523048,10.29842605,0,Z2
102,"Brescia, Della Volta 38-40",45.51564932,10.22471427,0,Z1
1020,"Rezzato, Almici 75",45.51868061,10.30560666,0,Z2
1021,"Rezzato, Scalabrini 35",45.51606027,10.31266304,0,Z2
1022,"Rezzato, Broli 20",45.51448344,10.31445954,0,Z2
1024,"Rezzato, L.Da Vinci, PP.TT.",45.51238631,10.32315131,0,Z2
1025,"Rezzato, Giovanni XXIII",45.51165823,10.30009834,0,Z2
1026,"Rezzato, Giovanni XXIII",45.50870824,10.30315948,0,Z2
1027,"Rezzato, Giovanni XXIII, Ex Pama",45.5071916,10.30630396,0,Z2
1028,"Rezzato, Matteotti fr.74",45.50588886,10.31166513,0,Z2
1029,"Rezzato, Matteotti 135",45.50806945,10.312004,0,Z2
103,"Brescia, Della Volta fr.97",45.51225765,10.22566987,0,Z1
1030,"Rezzato, L.Da Vinci 78",45.51260302,10.32785966,0,Z2
1032,"Rezzato, Virle, Capolinea",45.51457255,10.33302359,0,Z2
1034,"Rezzato, L.Da Vinci",45.51267525,10.328143,0,Z2
1035,"Rezzato, L.Da Vinci, PP.TT.",45.51246686,10.32295686,0,Z2
1036,"Rezzato, Leonardo Da Vinci fr.4, Scuole",45.51333623,10.31579011,0,Z2
1037,"Rezzato, IV Novembre 124, CTM",45.51208701,10.31363302,0,Z2
1038,"Rezzato, Mazzini",45.51325001,10.30716783,0,Z2
1039,"Rezzato, Giovanni XXIII",45.50773326,10.30541786,0,Z2
104,"Brescia, Della Volta fr.179",45.50979993,10.22504023,0,Z1
1040,"Rezzato, S.Eufemia, SS11 Continente",45.51559434,10.29715938,0,Z2
1041,"Brescia, S.Eufemia, Italmark",45.51791649,10.28738151,0,Z1
1042,"Brescia, S.Eufemia 72",45.51964976,10.28082034,0,Z1
1043,"Brescia, S.Eufemia fr.54, Metro",45.5205469,10.27465915,0,Z1
1044,"Brescia, S.Eufemia 15",45.52263019,10.26792576,0,Z1
1045,"Brescia, Cefalonia, Carnevali",45.52499654,10.21767527,0,Z1
1046,"Brescia, Cefalonia, Parco Gallo",45.52770754,10.20639459,0,Z1
1047,"Caino, Nazionale 65",45.61330454,10.32178547,0,Z2
1048,"Caino, Trieste 3",45.61304614,10.31680487,0,Z2
1049,"Caino, Trento/Villa Sera",45.61016968,10.31415474,0,Z2
105,"S.Z.Naviglio, Della Volta fr.201",45.50297898,10.22198708,0,Z1
1050,"Caino, Nazionale SP237/S.Rocco",45.60735709,10.31073554,0,Z2
1051,"Caino, SS237 Del Caffaro, Ferriera",45.60330976,10.30863006,0,Z2
1052,"Nave, Trento fr.148, Valle",45.59880134,10.30856628,0,Z2
1053,"Nave, Trento 213, Mitria",45.59079283,10.3070609,0,Z2
1054,"Nave, Trento 45, S.Rocco",45.58705096,10.29476645,0,Z2
1055,"Nave, Brescia fr.43",45.58592027,10.28734694,0,Z2
1056,"Nave, Brescia 108",45.5850516,10.28158674,0,Z2
1058,"Nave, Brescia fr.185",45.58390062,10.271858,0,Z2
1059,"Nave, Zanardelli, Villa Zanardelli",45.58542,10.2634412,0,Z2
106,"S.Z.Naviglio, Volta, Agricar",45.4997243,10.22260322,0,Z2
1060,"Nave, Zanardelli 73, Cimitero",45.58739497,10.25852165,0,Z2
1063,"Bovezzo, Verdi fr.32",45.58491515,10.24261659,0,Z2
